,date,time,comp,round,day,venue,gf,ga,opponent,poss,attendance,formation,sh,save%,season,team
16,2023-12-16,18:30,Bundesliga,Matchweek 15,Sat,Away,1.0,3.0,RB Leipzig,43.0,42946.0,3-4-1-2,9.0,70.0,2024,Hoffenheim
17,2023-12-19,20:30,Bundesliga,Matchweek 16,Tue,Home,3.0,3.0,Darmstadt 98,45.0,18125.0,3-1-4-2,13.0,0.0,2024,Hoffenheim
18,2024-01-12,20:30,Bundesliga,Matchweek 17,Fri,Away,0.0,3.0,Bayern Munich,39.0,75000.0,3-1-4-2,11.0,72.7,2024,Hoffenheim
19,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Away,2.0,3.0,Freiburg,56.0,33600.0,3-1-4-2,16.0,66.7,2024,Hoffenheim
20,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,1.0,1.0,Heidenheim,67.0,20120.0,4-3-1-2,22.0,66.7,2024,Hoffenheim
21,2024-02-04,15:30,Bundesliga,Matchweek 20,Sun,Away,2.0,2.0,Wolfsburg,55.0,22917.0,4-1-2-1-2◆,17.0,85.7,2024,Hoffenheim
22,2024-02-11,17:30,Bundesliga,Matchweek 21,Sun,Home,1.0,1.0,Köln,57.0,23020.0,3-4-3,10.0,0.0,2024,Hoffenheim
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,0.0,2.0,Wolfsburg,52.0,22620.0,4-1-3-2,14.0,75.0,2024,Heidenheim
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,2.0,3.0,Hoffenheim,38.0,15000.0,4-4-2,19.0,66.7,2024,Heidenheim
3,2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Away,2.0,2.0,Dortmund,38.0,81365.0,4-2-3-1,13.0,87.5,2024,Heidenheim
4,2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Home,4.0,2.0,Werder Bremen,41.0,15000.0,4-2-3-1,17.0,50.0,2024,Heidenheim
5,2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Away,1.0,4.0,Leverkusen,29.0,29557.0,4-2-3-1,2.0,70.0,2024,Heidenheim
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,1.0,0.0,Union Berlin,50.0,15000.0,4-2-3-1,10.0,100.0,2024,Heidenheim
7,2023-10-08,19:30,Bundesliga,Matchweek 7,Sun,Away,0.0,2.0,Eint Frankfurt,51.0,55800.0,4-2-3-1,7.0,66.7,2024,Heidenheim
8,2023-10-22,17:30,Bundesliga,Matchweek 8,Sun,Home,2.0,5.0,Augsburg,59.0,15000.0,4-1-4-1,15.0,33.3,2024,Heidenheim
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,1.0,2.0,M'Gladbach,47.0,51541.0,4-2-3-1,9.0,60.0,2024,Heidenheim
11,2023-11-05,17:30,Bundesliga,Matchweek 10,Sun,Home,2.0,0.0,Stuttgart,32.0,15000.0,4-2-3-1,19.0,100.0,2024,Heidenheim
12,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Away,2.0,4.0,Bayern Munich,28.0,75000.0,4-1-4-1,8.0,50.0,2024,Heidenheim
13,2023-11-26,15:30,Bundesliga,Matchweek 12,Sun,Home,0.0,0.0,Bochum,49.0,15000.0,4-1-4-1,9.0,100.0,2024,Heidenheim
14,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Away,1.0,2.0,RB Leipzig,30.0,44887.0,5-4-1,7.0,87.5,2024,Heidenheim
15,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,3.0,2.0,Darmstadt 98,44.0,15000.0,4-2-2-2,16.0,71.4,2024,Heidenheim
16,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Away,1.0,0.0,Mainz 05,35.0,27200.0,4-5-1,6.0,100.0,2024,Heidenheim
17,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,3.0,2.0,Freiburg,53.0,15000.0,4-4-2,15.0,75.0,2024,Heidenheim
18,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,1.0,1.0,Köln,49.0,50000.0,4-4-2,9.0,80.0,2024,Heidenheim
19,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,1.0,1.0,Wolfsburg,53.0,15000.0,4-1-4-1,12.0,66.7,2024,Heidenheim
20,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,1.0,1.0,Hoffenheim,33.0,20120.0,4-2-3-1,14.0,100.0,2024,Heidenheim
21,2024-02-02,20:30,Bundesliga,Matchweek 20,Fri,Home,0.0,0.0,Dortmund,31.0,15000.0,4-2-3-1,12.0,100.0,2024,Heidenheim
22,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,2.0,1.0,Werder Bremen,35.0,41000.0,4-2-3-1,11.0,66.7,2024,Heidenheim
1,2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,0.0,4.0,Bayern Munich,28.0,42100.0,3-1-4-2,6.0,60.0,2024,Werder Bremen
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,0.0,1.0,Freiburg,51.0,34700.0,3-1-4-2,15.0,85.7,2024,Werder Bremen
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,4.0,0.0,Mainz 05,45.0,41000.0,3-5-2,12.0,100.0,2024,Werder Bremen
4,2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Away,2.0,4.0,Heidenheim,59.0,15000.0,3-5-2,10.0,40.0,2024,Werder Bremen
5,2023-09-23,18:30,Bundesliga,Matchweek 5,Sat,Home,2.0,1.0,Köln,47.0,42100.0,3-1-4-2,17.0,75.0,2024,Werder Bremen
6,2023-10-01,15:30,Bundesliga,Matchweek 6,Sun,Away,2.0,4.0,Darmstadt 98,57.0,17810.0,3-5-2,11.0,40.0,2024,Werder Bremen
7,2023-10-07,18:30,Bundesliga,Matchweek 7,Sat,Home,2.0,3.0,Hoffenheim,48.0,41000.0,3-1-4-2,13.0,25.0,2024,Werder Bremen
8,2023-10-20,20:30,Bundesliga,Matchweek 8,Fri,Away,0.0,1.0,Dortmund,43.0,81365.0,3-5-2,5.0,80.0,2024,Werder Bremen
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,2.0,0.0,Union Berlin,56.0,42100.0,3-5-2,10.0,100.0,2024,Werder Bremen
10,2023-11-05,15:30,Bundesliga,Matchweek 10,Sun,Away,2.0,2.0,Wolfsburg,44.0,28917.0,3-5-2,13.0,50.0,2024,Werder Bremen
11,2023-11-12,17:30,Bundesliga,Matchweek 11,Sun,Home,2.0,2.0,Eint Frankfurt,49.0,42100.0,3-5-2,12.0,33.3,2024,Werder Bremen
12,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,0.0,3.0,Leverkusen,41.0,42100.0,3-5-2,2.0,25.0,2024,Werder Bremen
13,2023-12-02,18:30,Bundesliga,Matchweek 13,Sat,Away,0.0,2.0,Stuttgart,42.0,54500.0,3-5-2,12.0,83.3,2024,Werder Bremen
14,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,2.0,0.0,Augsburg,48.0,41000.0,3-5-2,14.0,100.0,2024,Werder Bremen
15,2023-12-15,20:30,Bundesliga,Matchweek 15,Fri,Away,2.0,2.0,M'Gladbach,50.0,50660.0,3-4-3,12.0,50.0,2024,Werder Bremen
16,2023-12-19,18:30,Bundesliga,Matchweek 16,Tue,Home,1.0,1.0,RB Leipzig,45.0,41000.0,3-4-3,11.0,87.5,2024,Werder Bremen
17,2024-01-14,15:30,Bundesliga,Matchweek 17,Sun,Away,1.0,1.0,Bochum,51.0,26000.0,3-4-3,16.0,75.0,2024,Werder Bremen
18,2024-01-21,15:30,Bundesliga,Matchweek 18,Sun,Away,1.0,0.0,Bayern Munich,32.0,75000.0,3-5-2,8.0,100.0,2024,Werder Bremen
19,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,3.0,1.0,Freiburg,42.0,41500.0,3-5-2,13.0,100.0,2024,Werder Bremen
20,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,1.0,0.0,Mainz 05,41.0,31800.0,3-5-2,6.0,100.0,2024,Werder Bremen
21,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,1.0,2.0,Heidenheim,65.0,41000.0,3-5-2,15.0,33.3,2024,Werder Bremen
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,4.0,4.0,M'Gladbach,56.0,30660.0,4-2-2-2,19.0,40.0,2024,Augsburg
2,2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Away,1.0,3.0,Bayern Munich,39.0,75000.0,4-2-2-2,10.0,60.0,2024,Augsburg
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,2.0,2.0,Bochum,38.0,27424.0,4-2-2-2,11.0,75.0,2024,Augsburg
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,0.0,3.0,RB Leipzig,46.0,44746.0,3-4-3,16.0,50.0,2024,Augsburg
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,2.0,1.0,Mainz 05,41.0,27310.0,3-4-3,5.0,50.0,2024,Augsburg
6,2023-10-01,17:30,Bundesliga,Matchweek 6,Sun,Away,0.0,2.0,Freiburg,47.0,33134.0,3-4-3,13.0,66.7,2024,Augsburg
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Home,1.0,2.0,Darmstadt 98,48.0,29200.0,3-4-3,18.0,80.0,2024,Augsburg
8,2023-10-22,17:30,Bundesliga,Matchweek 8,Sun,Away,5.0,2.0,Heidenheim,41.0,15000.0,4-2-2-2,8.0,60.0,2024,Augsburg
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,3.0,2.0,Wolfsburg,40.0,28000.0,4-2-3-1,8.0,83.3,2024,Augsburg
10,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,1.0,1.0,Köln,41.0,49300.0,4-2-3-1,18.0,90.9,2024,Augsburg
11,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,1.0,1.0,Hoffenheim,34.0,28260.0,4-2-3-1,11.0,83.3,2024,Augsburg
12,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,1.0,1.0,Union Berlin,39.0,22012.0,4-2-3-1,10.0,83.3,2024,Augsburg
13,2023-12-03,19:30,Bundesliga,Matchweek 13,Sun,Home,2.0,1.0,Eint Frankfurt,36.0,26107.0,4-2-3-1,7.0,83.3,2024,Augsburg
14,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,0.0,2.0,Werder Bremen,52.0,41000.0,4-2-3-1,11.0,60.0,2024,Augsburg
15,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Home,1.0,1.0,Dortmund,37.0,30660.0,4-2-3-1,20.0,85.7,2024,Augsburg
16,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,0.0,3.0,Stuttgart,34.0,53600.0,4-4-2,6.0,62.5,2024,Augsburg
17,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Home,0.0,1.0,Leverkusen,24.0,30055.0,4-1-2-1-2◆,3.0,83.3,2024,Augsburg
18,2024-01-21,17:30,Bundesliga,Matchweek 18,Sun,Away,2.0,1.0,M'Gladbach,45.0,44867.0,4-3-1-2,15.0,75.0,2024,Augsburg
19,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,2.0,3.0,Bayern Munich,42.0,30660.0,4-3-1-2,13.0,25.0,2024,Augsburg
20,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,1.0,1.0,Bochum,51.0,24500.0,4-1-2-1-2◆,13.0,75.0,2024,Augsburg
21,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,2.0,2.0,RB Leipzig,42.0,28510.0,4-3-1-2,11.0,71.4,2024,Augsburg
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,2.0,0.0,Heidenheim,48.0,22620.0,4-3-3,18.0,100.0,2024,Wolfsburg
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,2.0,1.0,Köln,50.0,49500.0,4-3-3,9.0,50.0,2024,Wolfsburg
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,1.0,3.0,Hoffenheim,60.0,17500.0,4-3-3,13.0,40.0,2024,Wolfsburg
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,2.0,1.0,Union Berlin,44.0,21917.0,4-2-3-1,8.0,83.3,2024,Wolfsburg
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,0.0,1.0,Dortmund,37.0,81365.0,4-2-3-1,7.0,75.0,2024,Wolfsburg
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,2.0,0.0,Eint Frankfurt,54.0,28323.0,4-2-3-1,17.0,100.0,2024,Wolfsburg
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,1.0,3.0,Stuttgart,41.0,52000.0,4-2-3-1,12.0,75.0,2024,Wolfsburg
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,1.0,2.0,Leverkusen,42.0,28917.0,3-4-3,18.0,71.4,2024,Wolfsburg
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,2.0,3.0,Augsburg,60.0,28000.0,4-2-3-1,12.0,40.0,2024,Wolfsburg
11,2023-11-05,15:30,Bundesliga,Matchweek 10,Sun,Home,2.0,2.0,Werder Bremen,56.0,28917.0,3-4-3,14.0,50.0,2024,Wolfsburg
12,2023-11-10,20:30,Bundesliga,Matchweek 11,Fri,Away,0.0,4.0,M'Gladbach,53.0,45308.0,4-4-2,12.0,50.0,2024,Wolfsburg
13,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,2.0,1.0,RB Leipzig,36.0,25350.0,3-4-3,10.0,88.9,2024,Wolfsburg
14,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Away,1.0,3.0,Bochum,56.0,24350.0,3-4-3,16.0,62.5,2024,Wolfsburg
16,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,0.0,1.0,Freiburg,58.0,20146.0,3-4-3,10.0,0.0,2024,Wolfsburg
17,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Away,1.0,0.0,Darmstadt 98,37.0,16900.0,3-5-2,11.0,100.0,2024,Wolfsburg
18,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,1.0,2.0,Bayern Munich,39.0,28917.0,3-1-4-2,5.0,71.4,2024,Wolfsburg
19,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,1.0,1.0,Mainz 05,48.0,24000.0,4-2-3-1,9.0,50.0,2024,Wolfsburg
20,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Away,1.0,1.0,Heidenheim,47.0,15000.0,4-2-3-1,13.0,66.7,2024,Wolfsburg
21,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,1.0,1.0,Köln,52.0,24525.0,4-2-3-1,14.0,50.0,2024,Wolfsburg
22,2024-02-04,15:30,Bundesliga,Matchweek 20,Sun,Home,2.0,2.0,Hoffenheim,45.0,22917.0,4-4-2,13.0,71.4,2024,Wolfsburg
23,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,0.0,1.0,Union Berlin,58.0,22000.0,4-4-2,17.0,0.0,2024,Wolfsburg
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,4.0,4.0,Augsburg,44.0,30660.0,4-2-3-1,9.0,57.1,2024,Monchengladbach
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Home,0.0,3.0,Leverkusen,40.0,54042.0,5-4-1,12.0,72.7,2024,Monchengladbach
3,2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Home,1.0,2.0,Bayern Munich,35.0,54042.0,4-1-4-1,7.0,71.4,2024,Monchengladbach
4,2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Away,3.0,3.0,Darmstadt 98,63.0,17810.0,4-2-3-1,21.0,62.5,2024,Monchengladbach
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,0.0,1.0,RB Leipzig,45.0,50122.0,3-5-2,14.0,75.0,2024,Monchengladbach
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,3.0,1.0,Bochum,42.0,26000.0,3-5-2,27.0,75.0,2024,Monchengladbach
7,2023-10-06,20:30,Bundesliga,Matchweek 7,Fri,Home,2.0,2.0,Mainz 05,60.0,51529.0,3-5-2,21.0,71.4,2024,Monchengladbach
8,2023-10-22,15:30,Bundesliga,Matchweek 8,Sun,Away,1.0,3.0,Köln,40.0,50000.0,3-5-2,5.0,87.5,2024,Monchengladbach
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,2.0,1.0,Heidenheim,53.0,51541.0,4-2-3-1,13.0,75.0,2024,Monchengladbach
11,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,3.0,3.0,Freiburg,41.0,34700.0,4-4-1-1,9.0,75.0,2024,Monchengladbach
12,2023-11-10,20:30,Bundesliga,Matchweek 11,Fri,Home,4.0,0.0,Wolfsburg,47.0,45308.0,3-5-2,15.0,100.0,2024,Monchengladbach
13,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,2.0,4.0,Dortmund,49.0,81365.0,3-5-2,10.0,69.2,2024,Monchengladbach
14,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Home,2.0,1.0,Hoffenheim,49.0,49341.0,3-5-1-1,8.0,80.0,2024,Monchengladbach
16,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,1.0,3.0,Union Berlin,62.0,22012.0,3-5-2,11.0,66.7,2024,Monchengladbach
17,2023-12-15,20:30,Bundesliga,Matchweek 15,Fri,Home,2.0,2.0,Werder Bremen,50.0,50660.0,3-5-2,14.0,60.0,2024,Monchengladbach
18,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,1.0,2.0,Eint Frankfurt,37.0,58000.0,3-4-3,7.0,66.7,2024,Monchengladbach
19,2024-01-14,17:30,Bundesliga,Matchweek 17,Sun,Home,3.0,1.0,Stuttgart,29.0,53429.0,4-3-3,8.0,50.0,2024,Monchengladbach
20,2024-01-21,17:30,Bundesliga,Matchweek 18,Sun,Home,1.0,2.0,Augsburg,55.0,44867.0,4-4-2,18.0,71.4,2024,Monchengladbach
21,2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Away,0.0,0.0,Leverkusen,25.0,30210.0,5-3-2,4.0,100.0,2024,Monchengladbach
22,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,1.0,3.0,Bayern Munich,45.0,75000.0,4-1-4-1,11.0,50.0,2024,Monchengladbach
23,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,0.0,0.0,Darmstadt 98,58.0,46121.0,3-5-2,24.0,100.0,2024,Monchengladbach
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,0,5,Stuttgart,40.0,53000.0,3-4-3,4.0,44.4,2024,Bochum
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,1,1,Dortmund,36.0,26000.0,3-5-2,20.0,66.7,2024,Bochum
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,2,2,Augsburg,62.0,27424.0,3-5-2,21.0,50.0,2024,Bochum
4,2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Home,1,1,Eint Frankfurt,49.0,26000.0,3-5-2,21.0,83.3,2024,Bochum
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,0,7,Bayern Munich,38.0,75000.0,3-5-2,4.0,60.0,2024,Bochum
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,1,3,M'Gladbach,58.0,26000.0,3-5-2,24.0,62.5,2024,Bochum
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,0,0,RB Leipzig,25.0,44269.0,3-5-2,9.0,100.0,2024,Bochum
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,1,2,Freiburg,42.0,33900.0,3-4-3,13.0,80.0,2024,Bochum
9,2023-10-27,20:30,Bundesliga,Matchweek 9,Fri,Home,2,2,Mainz 05,50.0,26000.0,3-4-3,11.0,33.3,2024,Bochum
10,2023-11-03,20:30,Bundesliga,Matchweek 10,Fri,Away,2,1,Darmstadt 98,42.0,17810.0,3-4-3,9.0,75.0,2024,Bochum
11,2023-11-11,18:30,Bundesliga,Matchweek 11,Sat,Home,1,1,Köln,52.0,26000.0,4-3-3,25.0,83.3,2024,Bochum
12,2023-11-26,15:30,Bundesliga,Matchweek 12,Sun,Away,0,0,Heidenheim,51.0,15000.0,4-3-3,10.0,100.0,2024,Bochum
13,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Home,3,1,Wolfsburg,44.0,24350.0,4-2-3-1,20.0,83.3,2024,Bochum
14,2023-12-08,20:30,Bundesliga,Matchweek 14,Fri,Away,1,3,Hoffenheim,58.0,16023.0,4-3-3,22.0,57.1,2024,Bochum
15,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Home,3,0,Union Berlin,49.0,25300.0,4-3-3,21.0,100.0,2024,Bochum
16,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,0,4,Leverkusen,31.0,30210.0,4-3-3,6.0,62.5,2024,Bochum
17,2024-01-14,15:30,Bundesliga,Matchweek 17,Sun,Home,1,1,Werder Bremen,49.0,26000.0,4-3-3,14.0,66.7,2024,Bochum
18,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,1,0,Stuttgart,38.0,26000.0,4-4-2,6.0,100.0,2024,Bochum
19,2024-01-28,17:30,Bundesliga,Matchweek 19,Sun,Away,1,3,Dortmund,37.0,81365.0,4-3-3,11.0,83.3,2024,Bochum
20,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,1,1,Augsburg,49.0,24500.0,4-2-3-1,10.0,100.0,2024,Bochum
21,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,1,1,Eint Frankfurt,47.0,57500.0,4-1-2-1-2◆,14.0,50.0,2024,Bochum
1,2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Home,4.0,1.0,Mainz 05,47.0,22012.0,5-3-2,11.0,66.7,2024,Union Berlin
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,4.0,1.0,Darmstadt 98,27.0,17810.0,3-5-2,13.0,83.3,2024,Union Berlin
3,2023-09-03,17:30,Bundesliga,Matchweek 3,Sun,Home,0.0,3.0,RB Leipzig,36.0,22012.0,3-4-3,3.0,57.1,2024,Union Berlin
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,1.0,2.0,Wolfsburg,56.0,21917.0,3-5-2,19.0,33.3,2024,Union Berlin
6,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,0.0,2.0,Hoffenheim,57.0,20000.0,3-5-2,22.0,66.7,2024,Union Berlin
7,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,0.0,1.0,Heidenheim,50.0,15000.0,3-4-3,20.0,75.0,2024,Union Berlin
9,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,2.0,4.0,Dortmund,34.0,81365.0,5-3-2,12.0,42.9,2024,Union Berlin
10,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,0.0,3.0,Stuttgart,43.0,22012.0,3-5-2,9.0,40.0,2024,Union Berlin
12,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,0.0,2.0,Werder Bremen,44.0,42100.0,3-5-2,7.0,50.0,2024,Union Berlin
14,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Home,0.0,3.0,Eint Frankfurt,50.0,22012.0,5-4-1,11.0,0.0,2024,Union Berlin
16,2023-11-12,15:30,Bundesliga,Matchweek 11,Sun,Away,0.0,4.0,Leverkusen,31.0,29387.0,3-4-3,2.0,60.0,2024,Union Berlin
17,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,1.0,1.0,Augsburg,61.0,22012.0,3-4-3,14.0,100.0,2024,Union Berlin
19,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,3.0,1.0,M'Gladbach,38.0,22012.0,4-2-3-1,15.0,66.7,2024,Union Berlin
21,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Away,0.0,3.0,Bochum,51.0,25300.0,4-2-3-1,9.0,71.4,2024,Union Berlin
22,2023-12-20,18:30,Bundesliga,Matchweek 16,Wed,Home,2.0,0.0,Köln,40.0,22012.0,4-3-3,11.0,100.0,2024,Union Berlin
23,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,0.0,0.0,Freiburg,43.0,33800.0,5-3-2,9.0,100.0,2024,Union Berlin
24,2024-01-24,20:30,Bundesliga,Matchweek 13,Wed,Away,0.0,1.0,Bayern Munich,28.0,75000.0,5-3-2,4.0,90.0,2024,Union Berlin
25,2024-01-28,15:30,Bundesliga,Matchweek 19,Sun,Home,1.0,0.0,Darmstadt 98,50.0,21786.0,3-5-2,21.0,100.0,2024,Union Berlin
26,2024-02-04,17:30,Bundesliga,Matchweek 20,Sun,Away,0.0,2.0,RB Leipzig,34.0,44032.0,3-5-2,10.0,66.7,2024,Union Berlin
27,2024-02-07,18:30,Bundesliga,Matchweek 18,Wed,Away,1.0,1.0,Mainz 05,54.0,26200.0,3-5-2,16.0,83.3,2024,Union Berlin
28,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,1.0,0.0,Wolfsburg,42.0,22000.0,3-5-2,8.0,100.0,2024,Union Berlin
1,2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Away,0.0,1.0,Dortmund,34.0,81365.0,4-2-3-1,11.0,50.0,2024,Koln
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,1.0,2.0,Wolfsburg,50.0,49500.0,4-2-3-1,13.0,66.7,2024,Koln
3,2023-09-03,15:30,Bundesliga,Matchweek 3,Sun,Away,1.0,1.0,Eint Frankfurt,35.0,54000.0,4-1-4-1,6.0,50.0,2024,Koln
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,1.0,3.0,Hoffenheim,56.0,49300.0,4-2-3-1,18.0,40.0,2024,Koln
5,2023-09-23,18:30,Bundesliga,Matchweek 5,Sat,Away,1.0,2.0,Werder Bremen,53.0,42100.0,4-2-3-1,14.0,66.7,2024,Koln
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,0.0,2.0,Stuttgart,40.0,50000.0,4-1-3-2,14.0,50.0,2024,Koln
7,2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Away,0.0,3.0,Leverkusen,36.0,30210.0,4-1-3-2,7.0,70.0,2024,Koln
8,2023-10-22,15:30,Bundesliga,Matchweek 8,Sun,Home,3.0,1.0,M'Gladbach,60.0,50000.0,4-2-3-1,21.0,50.0,2024,Koln
9,2023-10-28,18:30,Bundesliga,Matchweek 9,Sat,Away,0.0,6.0,RB Leipzig,38.0,46480.0,4-2-3-1,6.0,61.5,2024,Koln
11,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Home,1.0,1.0,Augsburg,59.0,49300.0,4-2-3-1,26.0,50.0,2024,Koln
12,2023-11-11,18:30,Bundesliga,Matchweek 11,Sat,Away,1.0,1.0,Bochum,48.0,26000.0,4-2-3-1,11.0,88.9,2024,Koln
13,2023-11-24,20:30,Bundesliga,Matchweek 12,Fri,Home,0.0,1.0,Bayern Munich,32.0,50000.0,3-4-1-2,6.0,75.0,2024,Koln
14,2023-12-01,20:30,Bundesliga,Matchweek 13,Fri,Away,1.0,0.0,Darmstadt 98,55.0,17810.0,4-2-3-1,12.0,100.0,2024,Koln
